amount,merchant_category,payment_method,country,city,transaction_hour,is_night_transaction,scenario,fraud_label
1818.83,Travel,Credit Card,UK,London,15,0,SUSPICIOUS,0
484.7,Retail,Debit Card,Germany,Berlin,15,0,NORMAL,0
122.85,Fuel,Credit Card,India,Mumbai,15,0,NORMAL,0
39.57,Gaming,UPI,Canada,Toronto,15,0,NORMAL,0
7253.67,Luxury,Credit Card,Iran,Tehran,15,0,FRAUD,1
4699.37,Luxury,Credit Card,Iran,Tehran,15,0,FRAUD,1
143.91,Pharmacy,Credit Card,USA,New York,15,0,NORMAL,0
1583.71,Luxury,Wallet,USA,New York,15,0,NORMAL,0
964.24,Travel,Debit Card,India,Mumbai,15,0,NORMAL,0
5399.21,Luxury,UPI,India,Mumbai,15,0,NORMAL,0
442.75,Electronics,Credit Card,India,Mumbai,15,0,NORMAL,0
21.05,Food,Net Banking,India,Bangalore,15,0,NORMAL,0
90.67,Gaming,Wallet,Germany,Berlin,15,0,NORMAL,0
244.03,Retail,Credit Card,USA,New York,15,0,NORMAL,0
357.3,Retail,Wallet,UK,London,15,0,NORMAL,0
4803.81,Luxury,Credit Card,Iran,Tehran,15,0,FRAUD,1
2672.15,Travel,Net Banking,USA,Chicago,15,0,NORMAL,0
917.3,Travel,Wallet,India,Mumbai,15,0,NORMAL,0
71.51,Transportation,Debit Card,USA,New York,15,0,NORMAL,0
33.17,Food,Wallet,Germany,Berlin,15,0,NORMAL,0
5848.3,Luxury,Credit Card,India,Mumbai,15,0,NORMAL,0
7130.36,Electronics,Credit Card,Russia,Moscow,15,0,FRAUD,1
5692.87,Luxury,Credit Card,Canada,Toronto,15,0,NORMAL,0
47.38,Food,Credit Card,Germany,Berlin,15,0,NORMAL,0
7066.56,Electronics,Credit Card,Iran,Tehran,15,0,FRAUD,1
28.02,Gaming,Net Banking,USA,New York,15,0,NORMAL,0
4564.13,Luxury,Credit Card,Iran,Tehran,15,0,FRAUD,1
8814.2,Luxury,Credit Card,Russia,Moscow,15,0,FRAUD,1
99.3,Fuel,Debit Card,UK,London,15,0,NORMAL,0
42.48,Food,Net Banking,UK,London,15,0,NORMAL,0
271.09,Retail,Net Banking,USA,New York,15,0,NORMAL,0
246.56,Retail,UPI,Singapore,Singapore,15,0,NORMAL,0
3665.46,Luxury,Credit Card,North Korea,Pyongyang,15,0,FRAUD,1
3398.84,Electronics,Net Banking,USA,New York,15,0,NORMAL,0
3287.98,Electronics,Credit Card,Germany,Berlin,15,0,NORMAL,0
7315.63,Luxury,UPI,India,Mumbai,15,0,NORMAL,0
5034.64,Luxury,Credit Card,India,Bangalore,15,0,NORMAL,0
27.32,Food,Credit Card,USA,New York,15,0,NORMAL,0
3177.82,Electronics,Wallet,USA,New York,15,0,SUSPICIOUS,0
3829.42,Electronics,Credit Card,North Korea,Pyongyang,15,0,FRAUD,1
113.96,Transportation,Net Banking,USA,New York,15,0,NORMAL,0
2458.02,Travel,Credit Card,Singapore,Singapore,15,0,SUSPICIOUS,0
5918.18,Luxury,Net Banking,UK,London,15,0,NORMAL,0
1672.93,Travel,Debit Card,UK,London,15,0,SUSPICIOUS,0
2152.35,Electronics,Debit Card,USA,New York,15,0,NORMAL,0
3268.97,Electronics,Net Banking,India,Mumbai,15,0,SUSPICIOUS,0
51.83,Gaming,UPI,Singapore,Singapore,15,0,NORMAL,0
4949.04,Electronics,Credit Card,Russia,Moscow,15,0,FRAUD,1
7907.31,Luxury,Net Banking,USA,New York,15,0,NORMAL,0
38.13,Transportation,Net Banking,UK,London,15,0,NORMAL,0
142.53,Retail,Wallet,UK,London,15,0,NORMAL,0
6701.36,Luxury,Wallet,Germany,Berlin,15,0,NORMAL,0
181.39,Pharmacy,Debit Card,India,Mumbai,15,0,NORMAL,0
